site_id,tag,fg_declared,bg_declared,fg_composited,bg_composited,naive_cr,extended_cr,aa_naive,aa_extended,false_pos,false_neg
276,div,"rgb(41, 151, 255)","rgb(159, 198, 244)","rgb(41,151,255)","rgb(159,198,244)",1.7,1.7,0,0,0,0
276,div,"rgb(41, 151, 255)","rgb(164, 97, 141)","rgb(41,151,255)","rgb(164,97,141)",1.49,1.49,0,0,0,0
276,div,"rgb(41, 151, 255)","rgb(234, 51, 192)","rgb(41,151,255)","rgb(234,51,192)",1.21,1.21,0,0,0,0
276,div,"rgb(41, 151, 255)","rgb(51, 151, 212)","rgb(41,151,255)","rgb(51,151,212)",1.07,1.07,0,0,0,0
276,div,"rgb(41, 151, 255)","rgb(36, 23, 12)","rgb(41,151,255)","rgb(36,23,12)",5.79,5.79,1,1,0,0
276,div,"rgb(41, 151, 255)","rgb(222, 148, 68)","rgb(41,151,255)","rgb(222,148,68)",1.21,1.21,0,0,0,0
277,a,"rgb(0, 90, 240)","rgb(255, 255, 255)","rgb(0,90,240)","rgb(255,255,255)",5.64,5.64,1,1,0,0
277,button,"rgb(255, 255, 255)","rgb(0, 90, 240)","rgb(255,255,255)","rgb(0,90,240)",5.64,5.64,1,1,0,0
278,div,"rgb(226, 233, 248)","rgb(0, 0, 0)","rgb(226,233,248)","rgb(0,0,0)",17.24,17.24,1,1,0,0
278,div,"rgb(255, 255, 255)","rgba(0, 0, 0, 0.8)","rgb(255,255,255)","rgb(51,51,51)",21,12.63,1,1,0,0
278,div,"rgb(0, 0, 0)","rgb(20, 118, 252)","rgb(0,0,0)","rgb(20,118,252)",5.03,5.03,1,1,0,0
278,div,"rgb(0, 0, 0)","rgb(254, 213, 48)","rgb(0,0,0)","rgb(254,213,48)",14.77,14.77,1,1,0,0
278,div,"rgb(0, 0, 0)","rgb(252, 82, 63)","rgb(0,0,0)","rgb(252,82,63)",6.42,6.42,1,1,0,0
278,div,"rgb(226, 233, 248)","rgb(255, 255, 255)","rgb(226,233,248)","rgb(255,255,255)",1.22,1.22,0,0,0,0
278,a,"rgb(255, 255, 255)","rgb(0, 0, 0)","rgb(255,255,255)","rgb(0,0,0)",21,21,1,1,0,0
279,a,"rgb(255, 255, 255)","rgb(39, 125, 250)","rgb(255,255,255)","rgb(39,125,250)",3.89,3.89,0,0,0,0
279,div,"rgb(33, 33, 33)","rgb(248, 250, 255)","rgb(33,33,33)","rgb(248,250,255)",15.42,15.42,1,1,0,0
279,div,"rgb(33, 33, 33)","rgb(255, 255, 255)","rgb(33,33,33)","rgb(255,255,255)",16.1,16.1,1,1,0,0
279,section,"rgb(255, 255, 255)","rgb(40, 125, 250)","rgb(255,255,255)","rgb(40,125,250)",3.89,3.89,0,0,0,0
279,button,"rgb(255, 255, 255)","rgb(50, 100, 255)","rgb(255,255,255)","rgb(50,100,255)",4.77,4.77,1,1,0,0
280,div,"rgb(33, 37, 41)","rgb(255, 255, 255)","rgb(33,37,41)","rgb(255,255,255)",15.43,15.43,1,1,0,0
280,button,"rgb(255, 255, 255)","rgb(13, 118, 147)","rgb(255,255,255)","rgb(13,118,147)",5.21,5.21,1,1,0,0
280,div,"rgb(33, 37, 41)","rgb(248, 249, 250)","rgb(33,37,41)","rgb(248,249,250)",14.63,14.63,1,1,0,0
280,div,"rgb(33, 37, 41)","rgb(0, 35, 66)","rgb(33,37,41)","rgb(0,35,66)",1.03,1.03,0,0,0,0
280,button,"rgb(255, 255, 255)","rgb(31, 130, 68)","rgb(255,255,255)","rgb(31,130,68)",4.84,4.84,1,1,0,0
280,div,"rgb(33, 37, 41)","rgb(13, 118, 147)","rgb(33,37,41)","rgb(13,118,147)",2.96,2.96,0,0,0,0
280,a,"rgb(255, 255, 255)","rgb(0, 35, 66)","rgb(255,255,255)","rgb(0,35,66)",15.92,15.92,1,1,0,0
280,section,"rgb(33, 37, 41)","rgb(230, 242, 246)","rgb(33,37,41)","rgb(230,242,246)",13.51,13.51,1,1,0,0
281,div,"rgb(0, 0, 0)","rgb(255, 255, 255)","rgb(0,0,0)","rgb(255,255,255)",21,21,1,1,0,0
281,div,"rgb(0, 0, 0)","rgba(0, 0, 0, 0.2)","rgb(0,0,0)","rgb(204,204,204)",1,13.08,0,1,0,1
281,button,"rgb(252, 252, 255)","rgb(3, 129, 254)","rgb(252,252,255)","rgb(3,129,254)",3.68,3.68,0,0,0,0
284,a,"rgb(255, 255, 255)","rgb(0, 96, 223)","rgb(255,255,255)","rgb(0,96,223)",5.62,5.62,1,1,0,0
285,section,"rgb(22, 22, 22)","rgb(255, 255, 255)","rgb(22,22,22)","rgb(255,255,255)",18.1,18.1,1,1,0,0
285,li,"rgb(22, 22, 22)","rgb(244, 244, 244)","rgb(22,22,22)","rgb(244,244,244)",16.45,16.45,1,1,0,0
285,button,"rgb(141, 141, 141)","rgb(198, 198, 198)","rgb(141,141,141)","rgb(198,198,198)",1.94,1.94,0,0,0,0
285,button,"rgb(255, 255, 255)","rgb(57, 57, 57)","rgb(255,255,255)","rgb(57,57,57)",11.55,11.55,1,1,0,0
285,button,"rgb(255, 255, 255)","rgb(15, 98, 254)","rgb(255,255,255)","rgb(15,98,254)",5,5,1,1,0,0
287,a,"rgb(29, 31, 32)","rgb(243, 243, 244)","rgb(29,31,32)","rgb(243,243,244)",14.92,14.92,1,1,0,0
287,div,"rgb(255, 255, 255)","rgb(29, 31, 32)","rgb(255,255,255)","rgb(29,31,32)",16.55,16.55,1,1,0,0
287,div,"rgb(29, 31, 32)","rgb(36, 41, 46)","rgb(29,31,32)","rgb(36,41,46)",1.13,1.13,0,0,0,0
287,div,"rgb(29, 31, 32)","rgb(246, 248, 250)","rgb(29,31,32)","rgb(246,248,250)",15.54,15.54,1,1,0,0
287,div,"rgb(255, 255, 255)","rgb(14, 90, 217)","rgb(255,255,255)","rgb(14,90,217)",6.03,6.03,1,1,0,0
287,div,"rgb(29, 31, 32)","rgb(255, 255, 255)","rgb(29,31,32)","rgb(255,255,255)",16.55,16.55,1,1,0,0
287,a,"rgb(162, 79, 11)","rgba(248, 173, 76, 0.12)","rgb(162,79,11)","rgb(254,245,234)",3.03,5.32,0,1,0,1
287,button,"rgba(29, 31, 32, 0.75)","rgb(240, 240, 240)","rgb(82,83,84)","rgb(240,240,240)",14.52,6.75,1,1,0,0
287,button,"rgb(74, 146, 191)","rgb(255, 255, 255)","rgb(74,146,191)","rgb(255,255,255)",3.41,3.41,0,0,0,0
287,button,"rgb(255, 255, 255)","rgb(39, 109, 155)","rgb(255,255,255)","rgb(39,109,155)",5.6,5.6,1,1,0,0
288,div,"rgb(170, 170, 170)","rgb(27, 27, 27)","rgb(170,170,170)","rgb(27,27,27)",7.41,7.41,1,1,0,0
